name,department,gender,years_of_experience,position,num_publications,num_citations,salary
David Manera,Physical Sciences,male,15,Associate Professor,49,1421,96086
Gino Wulf,Physical Sciences,male,44,Full Professor,79,9559,211201
Christopher Heavener,Physical Sciences,male,16,Associate Professor,52,8580,182079
Bill Blanchard,Physical Sciences,male,4,Assistant Professor,10,430,88246
James Casey,Physical Sciences,male,16,Associate Professor,69,6693,161657
David Phipps,Physical Sciences,male,1,Assistant Professor,13,988,76540
William Haney,Physical Sciences,male,1,Assistant Professor,27,837,75130
Mark Neyman,Physical Sciences,male,10,Associate Professor,52,624,96563
Javier Zinzow,Physical Sciences,male,0,Assistant Professor,11,1639,84718
Miguel Porto,Physical Sciences,male,38,Full Professor,70,1330,119605
David Gonzalez,Physical Sciences,male,4,Assistant Professor,11,3883,129303
Daniel Jimenez,Physical Sciences,male,2,Assistant Professor,39,15210,225018
Stephen Sands,Physical Sciences,male,39,Full Professor,75,1275,115372
Robert Doman,Physical Sciences,male,45,Full Professor,92,2760,157001
Harry Barker,Physical Sciences,male,31,Full Professor,78,1482,106790
Larry Riley,Physical Sciences,male,55,Full Professor,74,1184,129680
Lawrence Landfair,Physical Sciences,male,54,Full Professor,82,6068,174520
Keith Scott,Physical Sciences,male,1,Assistant Professor,31,3968,113414
Robert Storey,Physical Sciences,male,2,Assistant Professor,29,406,71165
Harrison Taylor,Physical Sciences,male,5,Assistant Professor,26,286,81311
Angel Toro,Physical Sciences,male,1,Assistant Professor,18,1278,86824
Tommy Huang,Physical Sciences,male,23,Full Professor,86,2666,130184
John Griego,Physical Sciences,male,2,Assistant Professor,18,3726,113414
Hugh Ward,Physical Sciences,male,40,Full Professor,90,6390,170599
Christopher Hayes,Physical Sciences,male,39,Full Professor,88,3784,145193
Jorge Wood,Physical Sciences,male,4,Assistant Professor,32,448,81896
Kenneth Lindauer,Physical Sciences,male,12,Associate Professor,46,782,91199
Robert Liesmann,Physical Sciences,male,7,Associate Professor,60,8460,160810
Robert Boatman,Physical Sciences,male,3,Assistant Professor,25,9750,180061
Lonnie Dear,Physical Sciences,male,28,Full Professor,92,4508,136679
Michael Virtue,Physical Sciences,male,8,Associate Professor,56,4256,114232
Rusty Sewell,Physical Sciences,male,3,Assistant Professor,39,9204,167017
James Burney,Physical Sciences,male,8,Associate Professor,64,320,77845
Justin Morgia,Physical Sciences,male,64,Full Professor,83,3237,166689
Kristopher Franklin,Physical Sciences,male,23,Full Professor,75,2250,119699
Roger Lally,Physical Sciences,male,7,Associate Professor,41,5453,123963
Charles Barhorst,Physical Sciences,male,17,Associate Professor,52,3068,127576
Frank Freshour,Physical Sciences,male,0,Assistant Professor,35,105,70447
Richard Parson,Physical Sciences,male,27,Full Professor,90,2610,118211
Charles Roberts,Physical Sciences,male,21,Full Professor,93,11904,214198
John Ferrar,Physical Sciences,male,11,Associate Professor,60,2640,104836
James Sanchez,Physical Sciences,male,28,Full Professor,73,1022,111802
Dan Pipkins,Physical Sciences,male,30,Full Professor,79,632,96283
Michael Wills,Physical Sciences,male,17,Full Professor,82,5822,141758
Joe Williams,Physical Sciences,male,53,Full Professor,99,6336,184516
Ricky Jackson,Physical Sciences,male,5,Assistant Professor,16,832,87032
Ronald Orem,Physical Sciences,male,48,Full Professor,81,6561,189404
Daniel Barlow,Physical Sciences,male,35,Full Professor,71,9301,193284
Victor Willis,Physical Sciences,male,17,Associate Professor,62,2418,115852
Richard Powell,Physical Sciences,male,6,Assistant Professor,23,4278,119703
John Richard,Physical Sciences,male,46,Full Professor,78,2340,133718
Lester Corda,Physical Sciences,male,13,Associate Professor,69,5037,127117
Michael Goldstein,Physical Sciences,male,4,Assistant Professor,22,6204,131400
Clarence Gaines,Physical Sciences,male,13,Associate Professor,47,3478,116881
Richard Townsend,Physical Sciences,male,23,Full Professor,77,11319,195939
Joseph Alexander,Physical Sciences,male,4,Assistant Professor,27,1998,100188
Raymond Whittington,Physical Sciences,male,5,Assistant Professor,36,5004,121296
Timothy Dove,Physical Sciences,male,11,Associate Professor,66,726,81019
Richard Diaz,Physical Sciences,male,1,Assistant Professor,18,1278,87452
Philip Graff,Physical Sciences,male,50,Full Professor,89,6319,177117
John Glaser,Physical Sciences,male,5,Assistant Professor,37,5624,139756
Brian Cook,Physical Sciences,male,39,Full Professor,81,1377,113066
Jeremy Rauh,Physical Sciences,male,25,Full Professor,87,2523,118597
Micheal Reily,Physical Sciences,male,3,Assistant Professor,20,2940,98164
Juan Correa,Physical Sciences,male,26,Full Professor,77,30338,300000
David Whitehouse,Physical Sciences,male,24,Full Professor,99,2871,112981
Robert Eldred,Physical Sciences,male,6,Assistant Professor,35,4480,121268
Andrew Miller,Physical Sciences,male,30,Full Professor,73,15038,240480
Steven Archer,Physical Sciences,male,4,Assistant Professor,12,1692,95277
Brandon Washburn,Physical Sciences,male,39,Full Professor,88,1408,120044
Floyd Bridgers,Physical Sciences,male,8,Associate Professor,68,1156,88567
Leonard Ryder,Physical Sciences,male,15,Associate Professor,46,7590,168611
Joey Williams,Physical Sciences,male,3,Assistant Professor,26,8138,153098
David Howe,Physical Sciences,male,59,Full Professor,95,37050,300000
Kris Malone,Physical Sciences,male,6,Assistant Professor,26,3406,125311
Kevin Clement,Physical Sciences,male,7,Associate Professor,55,21395,289133
George Hertenstein,Physical Sciences,male,17,Associate Professor,67,1139,90213
Juan Meacham,Physical Sciences,male,39,Full Professor,72,16992,268847
Marcos Shulz,Physical Sciences,male,29,Full Professor,99,3267,126939
Alexander Bridges,Physical Sciences,male,34,Full Professor,74,8140,178796
Clarence Smith,Physical Sciences,male,0,Assistant Professor,12,888,93151
Jeffrey Williams,Physical Sciences,male,9,Associate Professor,45,8505,161660
Frank Ray,Physical Sciences,male,12,Associate Professor,55,7205,157476
Elton Siegel,Physical Sciences,male,27,Full Professor,93,12648,226618
Charles Petty,Physical Sciences,male,2,Assistant Professor,29,4321,118900
Douglas Napoleon,Physical Sciences,male,8,Associate Professor,45,810,80358
Jesus Taylor,Physical Sciences,male,6,Assistant Professor,18,90,83761
Carl Obrien,Physical Sciences,male,17,Associate Professor,46,3726,126460
Ronald Spataro,Physical Sciences,male,19,Full Professor,79,1185,95464
Jason Dale,Physical Sciences,male,10,Associate Professor,45,1440,101586
Daniel Tonkin,Physical Sciences,male,10,Associate Professor,54,11124,193801
Lawrence Young,Physical Sciences,male,0,Assistant Professor,34,578,74517
Richard Wilson,Physical Sciences,male,12,Associate Professor,40,1600,95120
Armando Skow,Physical Sciences,male,2,Assistant Professor,12,1692,97543
Howard Cardinale,Physical Sciences,male,0,Assistant Professor,20,1280,95384
Robert Clark,Physical Sciences,male,10,Associate Professor,64,4096,114343
Howard Kelley,Physical Sciences,male,5,Assistant Professor,10,320,73060
Charlie Ward,Physical Sciences,male,14,Associate Professor,49,2548,105624
Carl Latiolais,Physical Sciences,male,1,Assistant Professor,36,1116,79433
Edward Keegan,Physical Sciences,male,48,Full Professor,89,6141,171193
Lawrence Holm,Physical Sciences,male,39,Full Professor,72,2232,126548
Daniel Russotti,Physical Sciences,male,1,Assistant Professor,10,1280,78609
Shannon Wood,Physical Sciences,male,27,Full Professor,87,6177,148848
Frank Killingworth,Physical Sciences,male,6,Assistant Professor,25,550,83538
Jordan Ray,Physical Sciences,male,4,Assistant Professor,38,4180,119389
Fred Saunders,Physical Sciences,male,11,Associate Professor,41,1230,84952
Robert Vigil,Physical Sciences,male,55,Full Professor,74,2294,138314
Augustine Broglio,Physical Sciences,male,2,Assistant Professor,20,10800,184626
Moises Palmer,Physical Sciences,male,23,Full Professor,81,23895,300000
Robert Lamborn,Physical Sciences,male,64,Full Professor,78,3042,155323
John Patry,Physical Sciences,male,65,Full Professor,76,2508,153719
Jon Rivera,Physical Sciences,male,14,Associate Professor,51,714,86016
Henry Bosse,Physical Sciences,male,14,Associate Professor,62,16306,242344
Jason Heffner,Physical Sciences,male,42,Full Professor,95,51300,300000
Lee Joy,Physical Sciences,male,7,Associate Professor,53,530,75644
Dustin Sawyer,Physical Sciences,male,32,Full Professor,91,21294,300000
Darryl Kruger,Physical Sciences,male,8,Associate Professor,62,3224,103502
Louise Johns,Liberal Arts and Humanities,female,0,Assistant Professor,17,272,79414
Guadalupe Ellis,Liberal Arts and Humanities,female,2,Assistant Professor,14,602,73844
Anita Hahn,Liberal Arts and Humanities,female,13,Associate Professor,46,12972,218714
Bernice Conner,Liberal Arts and Humanities,female,13,Associate Professor,69,828,98215
Cassandra Willie,Liberal Arts and Humanities,female,31,Full Professor,85,20060,300000
Deborah Brocato,Liberal Arts and Humanities,female,3,Assistant Professor,13,1053,82532
Rosario Collins,Liberal Arts and Humanities,female,58,Full Professor,96,1536,140641
Simona Balch,Liberal Arts and Humanities,female,23,Full Professor,92,644,108630
Mary Eure,Liberal Arts and Humanities,female,5,Assistant Professor,26,3614,105661
Louise Torres,Liberal Arts and Humanities,female,17,Full Professor,82,19352,284140
Desiree Cook,Liberal Arts and Humanities,female,55,Full Professor,79,1106,136665
Violet Kelley,Liberal Arts and Humanities,female,20,Full Professor,95,26790,300000
Patricia Jackson,Liberal Arts and Humanities,female,3,Assistant Professor,32,1408,90335
Joleen Loomis,Liberal Arts and Humanities,female,6,Assistant Professor,31,6417,149608
Karen Crowder,Liberal Arts and Humanities,female,10,Associate Professor,49,245,89863
Janet Santiago,Liberal Arts and Humanities,female,11,Associate Professor,54,5238,132614
Marian Richards,Liberal Arts and Humanities,female,2,Assistant Professor,32,2432,100241
Frances Aymond,Liberal Arts and Humanities,female,25,Full Professor,74,814,107032
Jaime Bodkin,Liberal Arts and Humanities,female,12,Associate Professor,64,22592,300000
Regina Kliment,Liberal Arts and Humanities,female,48,Full Professor,97,11543,254728
Claudia Wallner,Liberal Arts and Humanities,female,57,Full Professor,93,4092,166503
Aaron Stoner,Liberal Arts and Humanities,male,6,Assistant Professor,33,5016,135129
Jonathan Diaz,Liberal Arts and Humanities,male,16,Associate Professor,49,6811,143109
Grover Garza,Liberal Arts and Humanities,male,13,Associate Professor,57,4047,114866
Carlos Vinson,Liberal Arts and Humanities,male,6,Assistant Professor,16,5648,122914
Craig Kastner,Liberal Arts and Humanities,male,17,Associate Professor,51,6528,143585
Timothy Vives,Liberal Arts and Humanities,male,1,Assistant Professor,12,564,67947
Michael Chasin,Liberal Arts and Humanities,male,37,Full Professor,78,4914,150072
Robert Reed,Liberal Arts and Humanities,male,15,Associate Professor,62,8122,161615
Kenneth Jordan,Liberal Arts and Humanities,male,13,Associate Professor,66,330,73538
Jeff Olson,Liberal Arts and Humanities,male,4,Assistant Professor,39,4017,104205
Alan Cassette,Liberal Arts and Humanities,male,14,Associate Professor,49,147,78044
Gilbert Broadnax,Liberal Arts and Humanities,male,61,Full Professor,93,1023,132050
Rodger Larkey,Liberal Arts and Humanities,male,52,Full Professor,91,11011,246686
Paul Mead,Liberal Arts and Humanities,male,47,Full Professor,95,19570,300000
Wayne Sorum,Liberal Arts and Humanities,male,36,Full Professor,74,1332,121074
Douglas Easterling,Liberal Arts and Humanities,male,3,Assistant Professor,38,494,77843
Lowell Robbins,Liberal Arts and Humanities,male,53,Full Professor,97,5529,162397
Lawrence Gonzalez,Liberal Arts and Humanities,male,7,Associate Professor,57,285,67333
Ralph Campbell,Liberal Arts and Humanities,male,17,Associate Professor,49,11466,200325
Robert Fulcher,Liberal Arts and Humanities,male,8,Associate Professor,46,5980,126746
Robert Hayes,Liberal Arts and Humanities,male,5,Assistant Professor,28,1596,84214
Albert Knight,Liberal Arts and Humanities,male,7,Associate Professor,64,8512,148736
George Stinson,Liberal Arts and Humanities,male,53,Full Professor,98,5586,164479
Jeremy Hadley,Liberal Arts and Humanities,male,5,Assistant Professor,33,1254,83538
Priscilla Newlin,Education,female,36,Full Professor,89,11659,221934
Amanda Morris,Education,female,11,Associate Professor,62,21886,300000
Megan Kaywood,Education,female,15,Associate Professor,51,5253,145943
Christina Henry,Education,female,35,Full Professor,93,9021,198901
Lucille Gilmore,Education,female,15,Full Professor,90,11970,204492
Marianne Bullock,Education,female,9,Associate Professor,69,8970,170475
Melinda Lopez,Education,female,12,Associate Professor,57,912,98948
Shamika Humphreys,Education,female,58,Full Professor,79,23621,300000
Gayle Dey,Education,female,65,Full Professor,70,9170,227552
Lila Kramer,Education,female,3,Assistant Professor,39,11778,185568
Ruth Cox,Education,female,13,Associate Professor,55,770,99738
Floy Strong,Education,female,0,Assistant Professor,34,408,76448
Kimberly Glenn,Education,female,12,Associate Professor,52,520,91858
Charlotte Barkan,Education,female,17,Full Professor,96,33888,300000
Renita Pena,Education,female,0,Assistant Professor,21,8274,150172
Lacy Gamble,Education,female,1,Assistant Professor,31,4619,111748
Renee Ackles,Education,female,9,Associate Professor,56,2464,104176
John Parham,Education,male,40,Full Professor,87,10527,214616
Joseph Peterson,Education,male,54,Full Professor,84,15540,265345
Michael Curtis,Education,male,19,Full Professor,77,7469,162109
Amos Browder,Education,male,7,Associate Professor,66,23298,300000
Donald Morgon,Education,male,2,Assistant Professor,25,800,77260
Paul Porter,Education,male,8,Associate Professor,44,440,76774
Steven Mccarthy,Education,male,7,Associate Professor,56,4144,105816
Steven Riley,Education,male,3,Assistant Professor,30,420,79172
Esteban Wright,Education,male,34,Full Professor,73,1168,107017
Max Flatt,Education,male,20,Full Professor,88,4312,122169
Reggie James,Education,male,26,Full Professor,98,1176,97332
Arturo Griffin,Education,male,3,Assistant Professor,21,1029,89326
Jared Murphy,Education,male,11,Associate Professor,66,2508,102810
